DATE,DEXVZUS
2020-09-02,328729.4151
2020-09-03,334183.5064
2020-09-04,337931.1097
2020-09-07,.
2020-09-08,354853.9533
2020-09-09,357958.2398
2020-09-10,359613.0626
2020-09-11,359953.1067
2020-09-14,362257.0637
2020-09-15,362257.0625
2020-09-16,365012.2493
2020-09-17,365311.1883
2020-09-18,368403.1587
2020-09-21,373300.6607
2020-09-22,374373.9223
2020-09-23,385900.9695
2020-09-24,391148.1834
2020-09-25,398398.0468
2020-09-28,413343.1039
2020-09-29,420140.8858
2020-09-30,429593.4893
2020-10-01,435585.7557
2020-10-02,435961.1096
2020-10-05,437421.3077
2020-10-06,436675.7913
2020-10-07,436675.7813
2020-10-08,440584.1808
2020-10-09,448979.22
2020-10-12,.
2020-10-13,451175.3438
2020-10-14,451760.6227
2020-10-15,449592.7581
2020-10-16,449727.0067
2020-10-19,451712.0402
2020-10-20,454168.2737
2020-10-21,455778.0268
2020-10-22,456099.0137
2020-10-23,458804.5043
2020-10-26,461259.9313
2020-10-27,463130.7541
2020-10-28,470010.8327
2020-10-29,486996.4576
2020-10-30,505275.4269
2020-11-02,517784.7074
2020-11-03,514629.4626
2020-11-04,515938.4958
2020-11-05,516991.2034
2020-11-06,526161.5987
2020-11-09,534007.6123
2020-11-10,534379.9535
2020-11-11,.
2020-11-12,570193.1035
2020-11-13,605957.1339
2020-11-16,644707.0744
2020-11-17,665046.4226
2020-11-18,669297.9913
2020-11-19,679453.0501
2020-11-20,708924.7673
2020-11-23,780070.101
2020-11-24,709813.125
2020-11-25,915445.172
2020-11-26,.
2020-11-27,.
2020-11-30,1033297.31
2020-12-01,1048184.946
